,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1223,1224,NCT00205699,Metabolic Effects of Antipsychotics in Children,MEAC,Completed,Has Results,Aggression|Attention Deficit-Hyperactivity|Oppositional Defiant Disorder|Pervasive Development Disorders|Bipolar Disorder,Drug: risperidone|Drug: olanzapine|Drug: aripiprazole,Change in DEXA % Body Fat|Change in Insulin-stimulated Glucose Rate of Disappearance (Glucose Rd)|Change in Insulin-stimulated Glycerol Rate of Appearance (Glycerol Ra)|Change in Insulin-stimulated Glucose Rate of Appearance (Glucose Ra)|Change in MRI-measured Visceral Abdominal Fat|Change in MRI-measured Subcutaneous Abdominal Fat,Washington University School of Medicine|National Institute of Mental Health (NIMH),All,"6 Years to 18 Years   (Child, Adult)",Phase 4,144.0,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,NIMH|R01MH072912,2006-04-01,2011-03-01,2011-07-01,2005-09-20,2018-06-15,2018-06-15,"Washington University School of Medicine, Psychiatry Dept., Saint Louis, Missouri, United States","""Informed Consent Form: Child and Adult Consent"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT00205699/ICF_000.pdf|""Informed Consent Form: Genetics Consent"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT00205699/ICF_001.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT00205699/Prot_002.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT00205699/SAP_003.pdf",https://ClinicalTrials.gov/show/NCT00205699
1224,1225,NCT01703533,A Safety Study of NNZ-2566 in Patients With Rett Syndrome,,Completed,No Results Available,Rett Syndrome,Drug: NNZ-2566|Drug: Placebo,Adverse events|Change in EEG activity|Behavior|Physiological changes|Global and Functional outcome Measures,Neuren Pharmaceuticals Limited|Baylor College of Medicine|International Rett Syndrome Foundation,Female,"16 Years to 45 Years   (Child, Adult)",Phase 2,67.0,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Neu-2566-RETT-001,2013-03-01,2014-09-01,2014-09-01,2012-10-10,,2018-02-05,"University of Alabama, Birmingham, Alabama, United States|Gillette Children's Specialty Healthcare, Saint Paul, Minnesota, United States|Baylor School of Medicine, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT01703533
1225,1226,NCT04003207,Growth Hormone Treatment in Children With Phelan McDermid Syndrome,,Completed,No Results Available,Phelan McDermid Syndrome,Drug: Recombinant human Growth hormone,ABC - Social Withdrawal subscale|Repetitive Behavior Scale-Revised (RBS-R)|The Sensory Profile|The Sensory Assessment for Neurodevelopmental Disorders (SAND)|Visual evoked potentials (VEP)|Change in Auditory event related potentials (AERP),Swathi Sethuram|Icahn School of Medicine at Mount Sinai,All,2 Years to 12 Years   (Child),Phase 2,6.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GCO 18-2549,2019-09-13,2020-06-05,2020-06-05,2019-07-01,,2020-06-12,"Seaver Autism Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04003207
1231,1232,NCT00399698,Study to Determine Whether There Are Any Cognitive or Motor Effects From Taking the Medicine Risperidone.,,Completed,No Results Available,Oppositional Defiant Disorder|Conduct Disorder|Attention Deficit/Hyperactivity Disorder (ADHD)|Intermittent Explosive Disorder|Impulse-Control Disorders|Adjustment Disorder|Bipolar Disorder|Pervasive Developmental Disorder,Drug: Risperdal,Short Term Recognition Memory task (accuracy)|Titrated Delayed Matching-to-Sample task (accuracy)|Continuous Performance task (omission errors)|Seat Activity|Graduated Holes task (errors and error times),Ohio State University,All,4 Years to 14 Years   (Child),Phase 3,30.0,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Diagnostic,1998H0298,1999-05-01,,2005-06-01,2006-11-15,,2016-06-23,"Ohio State University Nisonger Center, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT00399698
1234,1235,NCT03569631,A 2-Period Crossover Study of BPN14770 in Adults Males With Fragile X Syndrome,,Completed,No Results Available,Fragile X Syndrome|FXS|Fra(X) Syndrome,Drug: BPN14770|Drug: Placebo,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability],Tetra Discovery Partners,Male,18 Years to 45 Years   (Adult),Phase 2,30.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",BPN14770-CNS-203,2018-07-09,2020-07-31,2020-07-31,2018-06-26,,2020-12-03,"Rush University Medical Center, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT03569631
1239,1240,NCT01289912,Trial of RAD001 and Neurocognition in Tuberous Sclerosis Complex (TSC),TSC,Completed,Has Results,Tuberous Sclerosis Complex,Drug: RAD001|Drug: Placebo,Evaluation of the Safety of RAD001 on Neurocognition in Patients With TSC Compared With Placebo in Patients With TSC.|Evaluation of the Efficacy of RAD001 on Neurocognition in Patients With TSC Compared With Placebo.|Evaluation of the Efficacy of RAD001 on Neurocognition (Cambridge Neuropsychological Test Automated Battery) in Patients With TSC Compared With Placebo.|Comparison of Absolute Change From Baseline in Frequency of Epileptiform Events Between Patients Taking RAD001 vs. Placebo|Comparison of Sleep Disturbances Between Patients Taking RAD001 vs. Placebo|Comparison of Autism Spectrum Disorders Features Between Patients Taking RAD001 vs. Placebo|Comparison of Academic Skills Between Patients Taking RAD001 vs. Placebo|Comparison of Behavioral Problems Between Patients Taking RAD001 vs Placebo,Mustafa Sahin|Tuberous Sclerosis Alliance|Autism Speaks|Novartis Pharmaceuticals|Seizure Tracker LLC|Boston Children's Hospital,All,"6 Years to 21 Years   (Child, Adult)",Phase 2,52.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",10-06-0247,2011-01-01,2014-12-01,2014-12-01,2011-02-04,2018-01-25,2018-01-25,"Boston Children's Hospital, Boston, Massachusetts, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT01289912
1241,1242,NCT02991807,RAD001 and Neurocognition in PTEN Hamartoma Tumor Syndrome,,"Active, not recruiting",No Results Available,PTEN Gene Mutation|PTEN Hamartoma Tumor Syndrome,Drug: RAD001|Drug: Placebo,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Change in Working Memory at 6 Months|Change in Processing Speed at 6 Months|Change in Fine Motor Skills at 6 Months|Change in Attention at 6 Months|Change in Impulsivity at 6 Months|Change in Global Cognitive Ability at 6 Months|Change in Motor Functioning at 6 Months|Change in Communication Ability at 6 Months,Boston Children's Hospital|National Institutes of Health (NIH)|National Institute of Neurological Disorders and Stroke (NINDS)|Office of Rare Diseases (ORD)|National Center for Advancing Translational Science (NCATS)|Novartis Pharmaceuticals|PTEN Research|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),All,"5 Years to 45 Years   (Child, Adult)",Phase 1|Phase 2,40.0,Other|NIH|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",IRB-P00020332|1U54NS092090,2017-06-12,2021-09-01,2021-12-01,2016-12-14,,2021-02-04,"Stanford University, Palo Alto, California, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Cleveland Clinic, Cleveland, Ohio, United States",,https://ClinicalTrials.gov/show/NCT02991807
1243,1244,NCT03694275,"A Multicenter, Open-label, Pilot Study of Soticlestat (TAK-935/OV935) in Participants With 15Q Duplication Syndrome (Dup 15q) or Cyclin-Dependent Kinase-Like 5 (CDKL5) Deficiency Disorder (ARCADE STUDY)",,Completed,Has Results,15q Duplication Syndrome|CDKL5 Deficiency Disease,Drug: Soticlestat,Percent Change From Baseline in Motor Seizure Frequency Per 28 Days During the Maintenance Period|Percent Change From Baseline in Motor Seizure Frequency Per 28 Days During the Treatment Period|Percentage of Participants Considered as Treatment Responders During the Maintenance Period|Percent Change From Baseline in Frequency of Motor Seizures Longer Than 5 Minutes in Participants With CDD|Proportion of Motor Seizure-free Days in Participants During the Maintenance Period|Change From Baseline in Clinician's Global Impression of Severity (CGI-S) Responses of Investigator|Percentage of Participants With Clinical Global Impression of Change (CGI-C) Responses as Per the Investigator Reported Impression|Percentage of Participants With Care Clinical Global Impression of Change (CGI-C) Responses of Parent/Family|Change From Baseline of Plasma 24S-hydroxycholesterol (24HC) Levels|Change From Baseline in Seizure Frequency in Participants Treated With TAK-935 as an Adjunctive Therapy,Takeda|Ovid Therapeutics Inc.,All,"2 Years to 55 Years   (Child, Adult)",Phase 2,20.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TAK-935-18-002 (OV935)|U1111-1219-5787,2018-09-10,2020-07-13,2020-07-31,2018-10-03,2021-04-20,2021-04-20,"UCLA, Los Angeles, California, United States|Research Institute Children's Hospital Colorado, Aurora, Colorado, United States|Center for Rare Neurological Diseases, Norcross, Georgia, United States|Center for Rare Neurological Diseases (CRND)--Massachusetts General Hospital, Boston, Massachusetts, United States|Boston Children's Hospital Translational Neuroscience Center, Boston, Massachusetts, United States|Minnesota Epilepsy Group, P.A., Saint Paul, Minnesota, United States|New York University (NYU), New York, New York, United States|Columbia University Medical Center, New York, New York, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03694275/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03694275/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT03694275
1249,1250,NCT04665453,Dexmedetomidine and Melatonin for Sleep Induction for EEG in Children,MeloDex,Recruiting,No Results Available,Electroencephalography|Child|Dexmedetomidine|Melatonin|Sleep|Epilepsy,"Diagnostic Test: Electroencephalography|Diagnostic Test: Monitoring of vital functions|Drug: Melatonin 0,1mg/kg oral syrup|Drug: Dexmedetomidine 3 mcg/kg sublingually|Drug: Dexmedetomidine 3 mcg/kg intranasally",Comparison of the three medical interventions on sleep initiation|Comparison of the three medical interventions on the depth of sleep and the most prominent sleep stage on EEG|Comparison of the three medical interventions on respiratory rate|Comparison of the three medical interventions on heart rate|Comparison of the three medical interventions on oxygene saturation|Comparison of the three medical interventions on blood pressure,University Medical Centre Ljubljana,All,"1 Year to 20 Years   (Child, Adult)",Not Applicable,150.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,0120-597/2019/16,2020-09-01,2021-12-31,2021-12-31,2020-12-11,,2020-12-16,"University Medical Centre Ljubljana, Ljubljana, Slovenia",,https://ClinicalTrials.gov/show/NCT04665453
1251,1252,NCT01906866,Efficacy and Safety of Circadin® in the Treatment of Sleep Disturbances in Children With Neurodevelopment Disabilities,,Completed,Has Results,Sleep Disorders,Drug: Circadin 2/5/10 mg|Drug: Placebo,"The Total Sleep Time Will be Measured for the Circadin 2/5 mg and Placebo by a Sleep and Nap Diary Questionnaire After the 13 Week, Double-blind Treatment Period.|Sleep Latency Will be Measured for the Circadin 2/5 mg and Placebo by a Sleep and Nap Diary After 13 Weeks of Double-blind Treatment.|The Duration of Wake After Sleep Onset Period Will be Measured for the Circadin 2/5 mg and Placebo by a Sleep and Nap Diary After 13 Weeks of Double-blind Treatment.|The Number of Awakenings During the Night Will be Measured for the Circadin 2/5 mg and Placebo by a Sleep and Nap Diary After 13 Weeks of Double-blind Treatment.|The Duration of the Longest Sleep Period Will be Measured for the Circadin 2/5 mg and Placebo by a Sleep and Nap Diary After 13 Weeks of Double-blind Treatment.|The Children's Social Functioning at Home, in School, and Community Settings Will be Measured for the Circadin 2/5 mg and Placebo by the Children Global Assessment Scale (CGAS) Questionnaire After 13 Weeks of Double-blind Treatment.|The Children's Behavior at Home, in School, and Community Will be Measured for the Circadin 2/5 mg and Placebo by the Strength of Difficulties Questionnaire (SDQ) Questionnaire Filled Out by the Parents After 13 Weeks of Double-blind Treatment.|The Number of Dropouts Between Circadin 2/5 mg to That of Placebo Will be Compared During the 13 Weeks of Double-blind Treatment.|Sleep Parameters (Rest/Activity Cycles) Will be Measured for the Circadin 2/5 mg and Placebo as Measured by Actigraphy After 13 Weeks of Double-blind Treatment.|Safety and Tolerability Throughout the Study Will be Measured for the Circadin 2/5 mg and Placebo Throughout the Study Using AE Eliciting Method Treatment Emergent Signs and Symptoms (TESS)|The Following Vital Signs Will be Measured: Blood Pressure, Pulse, Breathing and Body Temperature. They Will be Compared Between the Circadin and Placebo Groups.",Neurim Pharmaceuticals Ltd.,All,2 Years to 17 Years   (Child),Phase 3,125.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",NEU_CH_7911,2013-10-01,2018-03-27,2018-03-27,2013-07-24,2018-10-30,2019-05-21,"Southwest Autism Research and Resource Center (SARRC), Phoenix, Arizona, United States|Crystal BioMedical Research, LLC, Miami Lakes, Florida, United States|Lake Mary Pediatrics, Orange City, Florida, United States|Mate Lazlo, West Palm Beach, Florida, United States|Attalla Consultants LLC, dba Institue for Behabiovral medicine, Smyrna, Georgia, United States|AMR Baber research INC, Naperville, Illinois, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|Child Neurology Specialists/ CRCN, Henderson, Nevada, United States|Clinical research center of New Jersey, LLC, Voorhees, New Jersey, United States|Geinsinger Clinic, Danville, Pennsylvania, United States|The children's hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Vanderbilt University, Nashville, Tennessee, United States|INSITE Clinical Research, DeSoto, Texas, United States|Red Oak Psychiatry Associates, Houston, Texas, United States|Sleep Therapy & Research Center, San Antonio, Texas, United States|Road Runner Research, Ltd, San Antonio, Texas, United States|Ericksen Research & Development, Clinton, Utah, United States|Pacific institute of medical science, Bothell, Washington, United States|Helsinki Sleep Clinic Vitalmed OY, Helsinki, Finland|Hospital Raymond Poincare, Garches, France|Strasbourg University Hospital Depatment of Child Psychiatry & Neurology, Strasbourg,, France|Yulius Mental Health Organization, Dordrecht, Netherlands|Hospital Gelderse Vallei, Ede, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Birmingham Childrens Hospital NHS FOUNDATION TRUST, Birmingham, United Kingdom|Blackpool Victoria Teaching Hospitals NHS Foundation Trust, Blackpool, United Kingdom|Guy's & St. Thomas's NHS Foundation Trust of St Thomas's Hospital, London, United Kingdom|University Hospital Southampton NHS Foundation Trust, Southampton, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT01906866/Prot_002.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT01906866/SAP_003.pdf",https://ClinicalTrials.gov/show/NCT01906866
