"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1114,"NCT00445471","A Prospective Study Comparing the Mifne Approach of Treating Childhood Autism With Routine Standard Treatment",,"Terminated","No Results Available","Child Development Disorders, Pervasive","Behavioral: Mifne Approach to PDD|Behavioral: Treatment as usual","ADOS scores at 3 and 6 months after commencement of treatment|CGI-I score after 3 and 6 months","Rabin Medical Center","All","2 Years to 5 Years   (Child)","Not Applicable","45","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","4222","April 2007","December 2012","December 2012","March 9, 2007",,"December 25, 2014","Schneider Children's Medical Center of Israel, Departemnt of Psychological Medicine, Petach Tikva, Israel",,"https://ClinicalTrials.gov/show/NCT00445471"
1115,"NCT01778504","Studying Childhood-onset Behavioral, Psychiatric, and Developmental Disorders",,"Recruiting","No Results Available","Neurological Disorder|Autism|Sleep",,"clinical assessments","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","up to 99 Years   (Child, Adult, Older Adult)",,"3500","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","130028|13-M-0028","December 27, 2012","February 20, 2025","February 20, 2025","January 29, 2013",,"August 31, 2021","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01778504"
1116,"NCT02919215","Teacher Help for Children and Youth With Mental Health Disorders","TeacherHelp","Unknown status","No Results Available","Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder|Learning Disabilities","Behavioral: Teacher Help Intervention","Teacher Demographic Questionnaire (author made)|Change in Teacher Attitudes at 3 and 5 months (Kos, 2008)|Willingness to Pay Questionnaire|Change in Strengths and Difficulties Questionnaire at 3 and 5 months (SDQ; Goodman, 2001)|Change in Pediatric Quality of Life Inventory at 3 and 5 months (PedsQL-4; Varni et al., 1999)|Client Satisfaction Questionnaire (Attkisson & Swick, 1990)|Collaborating Psychologist Support Log (author-made)|Youth Satisfaction Measure (author-made)|Parent Demographic Questionnaire (author-made)|Change in Treatment Utilization at 3 and 5 months|Change in The Beach Center Family Quality of Life Scale at 3 and 5 months (Hoffman et al., 2006)","IWK Health Centre","All","6 Years and older   (Child, Adult, Older Adult)","Not Applicable","550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","348363","January 2017","June 2017","September 2018","September 29, 2016",,"September 29, 2016","Dalhousie University, Halifax, Nova Scotia, Canada",,"https://ClinicalTrials.gov/show/NCT02919215"
1117,"NCT01097720","Developmental Delay in Children Exposed During Pregnancy to Either Lamotrigine,Sodium Valproate, or Carbamazepine",,"Unknown status","No Results Available","Autism|Developmental Delay|Birth Defects",,"Adaptive Behavior Scores|Presence/Absence of Major Malformations","Massachusetts General Hospital|GlaxoSmithKline","All","36 Months to 83 Months   (Child)",,"298","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","2005P000379","March 2005","January 2010","September 2010","April 2, 2010",,"April 2, 2010","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01097720"
1118,"NCT04443179","Brain Imaging in Babies Study","BIBS","Recruiting","No Results Available","Autism Spectrum Disorder|Attention Deficit Hyperactivity Disorder|Neurodevelopmental Conditions|COVID-19",,"Neurodevelopmental Outcomes","King's College London","All","16 Years to 75 Years   (Child, Adult, Older Adult)",,"790","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","IRAS: 108997, REC 12/LO/2017","April 5, 2013","December 2023","December 2023","June 23, 2020",,"June 24, 2020","King's College London, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04443179"
1119,"NCT04302818","SKOLKONTAKT - Social Skills Training in a School Setting","SKOLKONTAKT","Recruiting","No Results Available","Autism Spectrum Disorder|Attention Deficit Hyperactivity Disorder|Anxiety|Depression","Behavioral: SKOLKONTAKT|Behavioral: Social activity group","Social Skills Group Questionnaire (SSGQ)|Social Responsiveness Scale-2 (SRS-ll)|KIDSCREEN-27 (short version)|Worlds Health Organisation Disability Assessment Schedule 2.0 (WHODAS 2.0)|Conners 3-F|Negative Effects Questionnaire (NEQ)|Goal Attainment Scaling (GAS)","Karolinska Institutet|Marcus och Amalia Wallenbergs minnesfond","All","15 Years to 20 Years   (Child, Adult)","Not Applicable","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","SKOLKONTAKT","September 2, 2019","March 2022","March 2022","March 10, 2020",,"March 12, 2020","CAP Research Center, Center of Neurodevelopmental disorders at Karolinska Institutet (KIND), Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT04302818"
1120,"NCT05056922","Telehealth Rapid Intervention for Externalizing Behaviors in ASD","THRIVE-ASD","Not yet recruiting","No Results Available","Autism Spectrum Disorder|Disruptive Behavior|Externalizing Behavior|Parent-Child Interaction Therapy|Telehealth","Behavioral: Tele-PCIT|Behavioral: Treatment as Usual","Change in Child Behavior Problems as assessed by Eyberg Child Behavior Inventory (ECBI)|Change in Child Behavior Problems as assessed by Sutter-Eyberg Student Behavior Inventory-Revised (SESBI-R)|Change in Child Compliance and Parent Interaction as assessed by Dyadic Parent-Child Interaction Coding System, 4th edition (DPICS-IV)|Change in Parenting Practices as assessed by Parenting Scale (PS)|Change in Parenting Stress as assessed by Parenting Stress Index-Short Form (PSI-SF)|Change in Child Behavior Problems as assessed by Behavior Assessment System for Children-3rd Edition (BASC-3)|Change in Child Behavior Problems as assessed by Disruptive Behavior Disorders Rating Scale (DBD)|Parent Satisfaction with Tele-PCIT as assessed by Therapy Attitude Inventory (TAI)|Impact of Barriers on Treatment Engagement as assessed by Barriers to Treatment Participation Scale (BTPS)","Medical University of South Carolina|Health Resources and Services Administration (HRSA)","All","2 Years to 83 Months   (Child)","Not Applicable","80","Other|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","00114600|R41MC42775-01-00","January 3, 2022","August 31, 2024","August 31, 2024","September 27, 2021",,"September 27, 2021",,,"https://ClinicalTrials.gov/show/NCT05056922"
1121,"NCT04026386","A Center Based Early Intervention Program For Preschoolers With Developmental Disorders",,"Recruiting","No Results Available","Development Disorder, Child|Developmental Disability|Development Delay|Autism Spectrum Disorder","Behavioral: Center Based Early Intervention Program","Change From Baseline in Parent Rated Social Responsiveness Scale, 2nd Edition (SRS-2) T-Score After Treatment.|Change From Baseline in Parent Rated Repetitive Behavior Scale Revised (RBS-R) Scores During Treatment.|Change From Baseline in Parent Rated Stanford Social Dimension Scale (SSDS) Scores During Treatment.|Change From Baseline in Parent Rated Vineland Adaptive Behavior Scale- 3 (VABS-3) Scores During Treatment.|Change From Baseline in Parent Rated Short Sensory Profile Questionnaire (SSPQ) Scores During Treatment.|Change From Baseline in Parent Rated General Self Efficacy Scale (GSES) Scores During Treatment.","Stanford University|John & Marcia Goldman Foundation","All","2 Years to 4 Years   (Child)","Not Applicable","75","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB-52348","October 19, 2019","December 2024","December 2024","July 19, 2019",,"May 24, 2021","Stanford University School of Medicine, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04026386"
1122,"NCT03282162","The Effects of Oxytocin on Affective Touch",,"Completed","No Results Available","Healthy","Drug: intranasal oxytocin|Drug: intranasal placebo","brain function: neural activity during affective touch as assessed via BOLD fMRI|Brain function: functional connectivity during affective touch as assessed via BOLD fMRI|Perceived affective quality of the touch|Associations with trait autism as assessed via the Autism-Spectrum Quotient (AQ) - brain function: activity|Associations with trait autism as assessed via the Autism-Spectrum Quotient (AQ) - brain function: functional connectivity|Associations with trait autism as assessed via the Autism-Spectrum Quotient (AQ) - behaviour: pleasantness experience|Associations with Sensory Responsivity as assessed via the Sensory Responsivity Scale - brain function: activity|Associations with Sensory Responsivity as assessed via the Sensory Responsivity Scale - brain function: functional connectivity|Associations with Sensory Responsivity as assessed via the Sensory Responsivity Scale - behaviour: pleasantness experience","University of Electronic Science and Technology of China","Male","18 Years to 30 Years   (Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","UESTC-neuSCAN-40","August 28, 2017","January 31, 2018","July 12, 2018","September 13, 2017",,"October 29, 2018","University of Electronic Science and Technology of China(UESTC), Chengdu, Sichuan, China",,"https://ClinicalTrials.gov/show/NCT03282162"
1123,"NCT03518346","Use of Virtual Reality Game Playing During Venipuncture",,"Completed","No Results Available","Autism|Development Delay|Typical Development","Behavioral: Virtual Reality|Behavioral: Standard of Care","Attempting vs. Refusing Venipuncture|Blood volume|Pain Scale|Satisfaction Survey|Fear Scale|Time to Achieve Optimal Blood Volume","University of California, Davis","All","8 Years to 19 Years   (Child, Adult)","Not Applicable","12","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","1170355","April 9, 2018","January 15, 2019","January 15, 2019","May 8, 2018",,"May 15, 2019","University of California Davis MIND Institute, Sacramento, California, United States",,"https://ClinicalTrials.gov/show/NCT03518346"
1124,"NCT04199299","Sensors for Communication for Persons Who Cannot Communicate Unequivocally",,"Recruiting","No Results Available","Intellectual Disability|Autism|Cerebral Palsy","Device: Heart rate and respiration rate sensors","Caregivers' practice detailed in structured interview|Caregivers' understanding of the user detailed in structured interview","University of Oslo","All","5 Years to 80 Years   (Child, Adult, Older Adult)",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Understand me!","February 1, 2020","December 31, 2030","December 31, 2032","December 13, 2019",,"April 28, 2021","University of Oslo, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04199299"
1125,"NCT03423836","Maternal Oral Therapy to Reduce Obstetric Risk Kids","MOTORKids","Completed","No Results Available","Periodontitis|Autism|Premature Infants",,"MCHAT Score","University of North Carolina, Chapel Hill|National Institute of Dental and Craniofacial Research (NIDCR)","All","Child, Adult, Older Adult",,"331","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","07-0727|3U01DE014577-04S1","April 30, 2007","May 31, 2010","January 11, 2013","February 6, 2018",,"February 14, 2018","University of Alabama at Birmingham Department of Ostetrics and Gynecology, Birmingham, Alabama, United States|Department of Periodontology, UNC School of Dentistry, Chapel Hill, North Carolina, United States|Duke University, Durham, North Carolina, United States|University of Texas Health Science Center, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03423836"
1126,"NCT02504502","Enhancing Genomic Laboratory Reports to Enhance Communication and Empower Patients",,"Completed","Has Results","Intellectual Disability|Autism|Multiple Congenital Anomalies","Other: enhanced genomic report","Satisfaction With Genomic Test Report","Geisinger Clinic|Patient-Centered Outcomes Research Institute","All","up to 21 Years   (Child, Adult)","Not Applicable","52","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Health Services Research","2013-0594","August 2015","January 1, 2017","January 1, 2017","July 22, 2015","June 15, 2017","February 12, 2018",,,"https://ClinicalTrials.gov/show/NCT02504502"
1127,"NCT04167839","Effects of Sensory Diets on Children's Sensory Processing Skills, Psychosocial Skills, and Classroom Engagement",,"Completed","No Results Available","Sensory Processing Disorder|Special Education|Autism","Other: Sensory diet","Change in frequency of a target behaviors related to psycho-social behaviors|Change in duration of a target behavior related to off-task behaviors.|Change in duration of a target behavior related to sensory seeking behaviors.","Pingale, Vidya, OTR|Tina S. Fletcher, EdD, MFA, OTR|Catherine Candler, PhD, OTR|Noralyn Pickens, PhD, OT|Karen Dunlap, EdD","Male","4 Years to 11 Years   (Child)","Not Applicable","5","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","TWU protocol# 19711","September 6, 2017","February 15, 2018","February 15, 2018","November 19, 2019",,"November 19, 2019","Vidya Pingale, Cliffside Park, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04167839"
